"","o1","o2","o3","o4","o5","o6","o7","o8","o9","o10","o11","o12","o13","o14","o15","o16","o17"
"2344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2214",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2057",1,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"2136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2135",0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2209",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"1894",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1818",0,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA
"1900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1901",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"1974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1976",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"1977",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2055",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2060",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2061",0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2130",1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2205",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
