,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17
2344,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0
2285,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0
2214,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0
1899,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0
2057,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,0
2136,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0
2135,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
2209,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0
2208,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0
2054,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0
2053,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0
1894,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0,0,0
1817,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,0
1818,7,7,7,7,7,7,7,7,7,7,7,7,7,2,0,0,0
1900,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3
1901,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
1972,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
1973,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0
1974,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0
1976,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0
1977,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0
2055,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,0,0
2056,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0
2059,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
2060,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2061,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0
2130,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0
2205,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2277,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0
