stns,Latitude,Longitude,y,x,ele1km,ele2km,ele4km,ele500m,set1km,set2km,set4km,set500m,riv1km,riv2km,riv4km,riv500m,road1km,road2km,road4km,road500m,tree1km,tree2km,tree4km,tree500m,tree11km,tree12km,tree14km,tree1500m,tree21km,tree22km,tree24km,tree2500m,tree31km,tree32km,tree34km,tree3500m,munt_P,munt_ZIP,sam_P,sam_ZIP,wp_P,wp_ZIP,munRN_top,munRN_modavg,samRN_modavg
2344,26.82373577,90.58661261,308315.2838,2968234.553,341.3899231,343.6334839,383.1499023,348.8672485,0,0,3.5610919,0,0,0,0.004936646,0,0,0.023731047,0.040645055,0,2.71883297,2.740276814,2.767648458,2.778761148,8.222811699,8.569544792,9.099884987,3.703703642,0.116710879,0.088332236,0.050353792,0.115044251,0.801061034,0.825972319,0.858647346,0.831858397,22.70811179,25.91708208,4.12531876,8.007201893,6.94710104,7.009724752,5.69,6,1.43
2285,26.88248625,90.58680707,308304.4984,2974744.471,577.3103638,615.2973022,689.1161499,578.0619507,0,0,3.541197538,0,0,0.021094264,0.024683231,0,0,0.014502307,0.014809939,0,2.907161713,2.812129259,2.725193262,2.92920351,3.448275805,7.910349369,12.34161568,1.234567881,0.023872679,0.029663811,0.02797433,0,0.941644549,0.891232669,0.848609507,0.964601755,22.89937303,28.72367068,5.702930352,10.80919444,6.152114419,6.369491171,4.86,5.16,1.57
2214,26.90120174,90.55617909,305252.1725,2976804.514,659.2970581,629.005249,539.3745117,696.3982544,0.318309873,23.95281982,22.71936798,0,0,0.03427818,0.025341451,0,0,0.04350692,0.101530358,0,2.867373943,2.658536673,2.314958096,2.964601755,5.570291996,14.83190536,31.84136963,0,0.021220159,0.044825312,0.048214581,0.017699115,0.923076928,0.806855619,0.633371711,0.973451316,21.0719951,27.6611374,5.99352482,11.36718202,5.754007701,5.992031835,4.52,4.69,1.6
1899,27.062419,90.476552,297274.2943,2994636.017,1823.867432,1766.098267,1668.736816,1843.008789,0,3.183098793,3.580986261,0,0,0,0,0,0,0,0,0,2.944297075,2.864205599,2.885140657,2.911504507,1.856763959,5.273566246,4.45943737,3.703703642,0.018567638,0.030323006,0.025670562,0.03539823,0.962864697,0.916941345,0.929735065,0.938053071,8.671036212,9.326250638,3.226476019,6.948700121,2.894403497,2.972749761,2.38,2.51,1.48
2057,26.99531,90.39653,289359.3603,2987172.45,1506.700317,1481.045532,1388.883179,1576.11499,0,0,5.371479511,0,0,0,0.018759256,0,0,0,0,0,2.917771816,2.723137856,2.82162261,2.982300997,3.448275805,12.85431767,7.372058392,1.234567881,0.0132626,0.019775873,0.030936318,0,0.952254653,0.851680934,0.895343125,0.991150439,11.53454533,13.51785215,4.383978151,9.004143988,3.415955751,3.556331494,2.74,2.9,1.57
2136,26.94044705,90.46508641,296186.6941,2981116.576,1394.145874,1152.134521,899.2073364,1511.318604,0,0,4.516021729,0,0,0,0.012835281,0,0,0,0.053315781,0,2.798408508,2.801582098,2.639131069,2.946902752,7.692307472,7.580751419,15.41879177,0,0.047745358,0.046802901,0.052493006,0.03539823,0.875331581,0.87738961,0.793319046,0.955752194,11.6061393,13.31884202,4.080545674,8.419104781,3.537837783,3.661127366,2.86,3.02,1.54
2135,26.93417983,90.44290211,293986.0259,2980414.231,912.2520142,947.5458374,875.1637573,986.9468994,0,6.207042694,16.51232529,0,0,0,0,0,0.00530504,0.035596572,0.0656574,0,2.750663042,2.636783123,2.440842628,2.902654886,8.753315926,14.70006561,25.14398575,1.234567881,0.074270554,0.069215558,0.056277767,0.079646021,0.838196278,0.783783793,0.692282379,0.911504447,16.31709431,19.15462179,4.477111058,8.899983592,4.811552058,4.950384344,3.87,4.1,1.51
2209,26.92064,90.34775,284540.2106,2978884.434,593.2997437,657.2511597,694.3300781,618.6636963,1.273239493,30.15986252,25.84278297,5.092957973,0,0,0,0,0,0.091628216,0.086391315,0,2.580901861,2.266314983,2.33338809,2.743362904,16.18037224,33.02570724,28.59963799,4.938271523,0.095490716,0.073170729,0.094619058,0.079646021,0.742705584,0.596572161,0.619384587,0.831858397,15.34156074,18.65729098,3.34600182,6.738715807,5.896722408,5.906553369,4.91,4.73,1.38
2208,26.91177358,90.33297278,283075.0403,2977898.058,823.6392822,730.8892822,710.7544556,916.9203491,0,13.44859314,27.4343338,0,0,0,0,0,0,0.045484509,0.076353461,0,2.6604774,2.537903786,2.33881855,2.716814041,12.20159149,17.33684921,28.59963799,8.641975403,0.095490716,0.115359262,0.089188747,0.088495575,0.782493353,0.71127224,0.624814868,0.814159274,13.76090684,14.04097931,2.749105943,5.745023041,4.92543425,4.904861835,4.17,4.37,1.36
2054,26.98274399,90.27920902,277717.1544,2985748.912,1386.758667,1490.074463,1595.330444,1365.398193,1.591549397,1.273239493,0.855457842,0,0.084880635,0.038892552,0.017442817,0,0,0,0,0,2.954907179,2.822017193,2.731446505,3,1.326259971,5.800922871,10.15303612,0,0.018567638,0.061964404,0.065492839,0,0.968169749,0.88002634,0.832976818,1,11.48399126,16.26142758,5.022041511,10.05207837,3.878743961,4.054106334,3.07,2.98,1.56
2053,26.99774399,90.31920902,281683.7855,2987420.387,2087.331543,2070.557617,1837.762817,2057.362793,0,0,0.258626789,0,0.087533154,0.052076466,0.030113542,0,0,0,0,0,2.883289099,2.843770504,2.855027199,2.902654886,2.652519941,5.339485645,5.117656708,1.234567881,0.06366048,0.049439684,0.042619713,0.079646021,0.909814298,0.897165477,0.906203747,0.911504447,7.303881607,7.618178621,2.882360227,6.35478471,2.545764667,2.608421797,2.11,2.28,1.44
1894,27.04902,90.280506,277829.5753,2993092.882,1943.872681,1875.469971,1910.997803,2017.407104,0.636619747,2.148591757,4.575704575,0,0,0,0,0,0,0,0,0,2.909814358,2.796308517,2.800065756,2.946902752,2.917771816,7.910349369,7.948000431,2.469135761,0.03183024,0.045484509,0.040974166,0.017699115,0.938992023,0.875411987,0.879545808,0.964601755,7.373945292,8.503203657,3.313570125,7.179618056,2.618336242,2.704295002,2.14,2.16,1.51
1817,27.103945,90.310513,280791.6344,2999185.866,1780.201538,1936.942627,2149.603027,1695.221191,0,0,0.656514168,0,0,0,0.001974659,0,0,0,0,0,2.954907179,2.907053471,2.859634638,2.964601755,1.326259971,3.361898422,4.903735161,1.234567881,0.018567638,0.025708636,0.042290606,0.017699115,0.968169749,0.940672398,0.908672035,0.973451316,10.3260622,11.77638608,3.973965604,8.301349523,3.176834042,3.295520649,2.57,2.71,1.55
1818,27.101236,90.365305,286225.9268,2998900.291,2240.965576,2168.419189,1975.712646,2273.256592,0,1.034507155,2.844894648,0,0,0,0.017442817,0,0,0,0,0,2.870026588,2.829268217,2.834128618,2.805309772,4.509284019,6.460118771,6.467006683,4.938271523,0.039787799,0.041529335,0.036531184,0.053097345,0.91511935,0.89386946,0.898798764,0.876106203,5.526158452,5.208569747,2.012218208,4.666680016,2.217710876,2.231608441,1.9,1.99,1.38
1900,27.040884,90.504431,300049.5064,2992260.563,1703.132568,1638.349365,1512.253296,1734.761108,1.273239493,2.466901541,1.193662047,0,0,0,0,0,0,0,0,0,2.997347593,2.957152367,2.920190811,3,0,1.71390903,2.961987734,0,0.00265252,0.008569545,0.02056936,0,0.997347474,0.974291384,0.949810743,1,9.02826748,11.90610785,4.314065922,8.949049111,3.113809844,3.249952455,2.49,2.41,1.57
1901,27.05227003,90.553015,304864.5448,2993542.442,1554.618042,1466.131226,1546.492065,1637.09729,0,0,1.730810046,0,0,0,0,0,0,0,0.002139213,0,2.957559586,2.928806782,2.915747881,2.92920351,1.591511965,2.636783123,3.126542807,3.703703642,0.010610079,0.018457482,0.021721244,0.017699115,0.973474801,0.955174685,0.947013319,0.955752194,10.33822484,11.53651831,3.68877192,7.745693152,3.27715391,3.379108106,2.67,2.82,1.51
1973,27.02709865,90.28833423,278611.7906,2990665.641,1621.498657,1725.805542,1870.959229,1575.203491,7.002817631,3.580986261,3.580986261,11.45915604,0,0,0,0,0,0,0,0,2.729443073,2.754119873,2.76419282,2.761061907,11.67108727,9.887936592,9.116340637,8.641975403,0.037135277,0.048121292,0.053480335,0.044247787,0.846153855,0.85299933,0.855356276,0.85840708,3.941680031,7.555683231,2.371297786,5.210356986,3.344341493,3.348047477,2.85,2.02,1.32
1974,27.00397333,90.33486,283235.4363,2988114.652,2029.628662,2002.346069,1809.61377,2012.566406,0,0,0.616725385,0,0.100795753,0.060646012,0.031100873,0.079646021,0,0,0,0,2.965517282,2.876730442,2.89814043,2.973451376,0.530503988,3.955174685,3.488563538,0,0.023872679,0.044166118,0.032088201,0.026548672,0.970822275,0.916282117,0.933026135,0.973451316,8.223406246,9.119463737,3.574426593,7.678683475,2.632740863,2.732034225,2.14,2.33,1.51
1976,27.01012,90.389406,288647.1654,2988811.271,1752.389893,1602.805542,1438.22644,1829.778809,0,10.58380413,8.196479797,0,0,0,0.044100709,0,0,0,0,0,2.509283781,2.69742918,2.771433353,2.530973434,23.6074276,13.64535236,9.675827026,20.98765373,0.018567638,0.029663811,0.035050191,0.008849557,0.745358109,0.833882689,0.86819154,0.761061966,5.547640336,4.414104894,1.126613042,2.721877913,2.810246455,2.698408848,2.57,2.67,1.22
